number;sealhash;txs;gas;fees;elapsed
723;1f88cd…f83414;261;5481000;5.481e-12;18.579ms
724;ac74bc…58d401;257;5397000;5.397e-12;17.467ms
725;5e658e…2df108;255;5355000;5.355e-12;15.833ms
726;32c9ac…b9d78c;260;5460000;5.46e-12;18.338ms
727;ab25b3…c2690a;258;5418000;5.418e-12;17.746ms
728;9c1e3f…46b7fc;256;5376000;5.376e-12;16.343ms
729;7a68d7…33bb3e;256;5376000;5.376e-12;54.609ms
730;f03eea…6ed355;260;5460000;5.46e-12;15.429ms
731;f7f03e…964b1a;262;5502000;5.502e-12;14.206ms
732;b1f271…c250d9;253;5313000;5.313e-12;15.704ms
733;2fcd35…c92d00;252;5292000;5.292e-12;13.462ms
734;69e706…3187a8;247;5187000;5.187e-12;11.846ms
735;90df92…b5a451;251;5271000;5.271e-12;26.019ms
736;e5f04d…cf961d;255;5355000;5.355e-12;15.266ms
737;5aaa16…1ec938;252;5292000;5.292e-12;14.211ms
738;a145c3…8aecb2;253;5313000;5.313e-12;18.026ms
739;b6d0f3…80e473;254;5334000;5.334e-12;14.843ms
740;2a269d…03c582;248;5208000;5.208e-12;11.961ms
741;a705c4…aaef3b;254;5334000;5.334e-12;16.697ms
742;7f55e9…4d2d10;245;5145000;5.145e-12;16.442ms
743;f3e144…c561a2;52;1092000;1.092e-12;4.362ms
744;55c699…d5a655;48;1008000;1.008e-12;4.972ms
745;e923dc…b758c6;37;777000;7.77e-13;3.290ms
746;8bbdfc…b29dd2;46;966000;9.66e-13;3.078ms
747;516e75…da6330;40;840000;8.4e-13;4.316ms
748;9b9cb8…924dba;45;945000;9.45e-13;4.255ms
749;78c22c…d9304a;44;924000;9.24e-13;3.247ms
750;205f6d…d24277;37;777000;7.77e-13;4.278ms
751;386259…b05ae7;35;735000;7.35e-13;3.654ms
752;73c43b…a24a01;36;756000;7.56e-13;2.904ms
753;ec7446…5be71e;44;924000;9.24e-13;3.762ms
754;a81c82…a6b8a4;40;840000;8.4e-13;3.413ms
755;49483b…763934;33;693000;6.93e-13;2.812ms
756;4004f0…cda0d4;37;777000;7.77e-13;3.519ms
757;ce88b8…1d5e68;36;756000;7.56e-13;3.657ms
758;b3944b…8f68b3;42;882000;8.82e-13;3.098ms
759;e7b1bc…c56a94;43;903000;9.03e-13;4.523ms
760;233692…006949;42;882000;8.82e-13;4.229ms
761;e7cb6e…38be92;34;714000;7.14e-13;2.793ms
762;a7a091…69624a;53;1113000;1.113e-12;4.134ms
763;397ef0…0b3a57;37;777000;7.77e-13;4.084ms
764;b06734…c8ce47;46;966000;9.66e-13;3.185ms
765;32d31a…691555;52;1092000;1.092e-12;4.736ms
766;60c2cc…b72316;148;3108000;3.108e-12;8.636ms
767;8fe3d2…347456;170;3570000;3.57e-12;33.243ms
768;69f489…10106c;102;2142000;2.142e-12;7.709ms
769;5479f7…4769ff;85;1785000;1.785e-12;5.964ms
770;5a114a…c4b7b6;131;2751000;2.751e-12;7.426ms
771;626d69…b1fe35;132;2772000;2.772e-12;10.309ms
772;62c9a5…731885;108;2268000;2.268e-12;8.814ms
773;634936…18d2b1;112;2352000;2.352e-12;6.539ms
774;94147b…fbc22c;123;2583000;2.583e-12;7.732ms
775;16cba3…84780d;117;2457000;2.457e-12;8.804ms
776;8f743e…fc11fb;114;2394000;2.394e-12;6.494ms
777;66cd24…73e199;106;2226000;2.226e-12;8.708ms
778;a718b1…53d015;124;2604000;2.604e-12;7.320ms
779;2e3c0b…fb6778;126;2646000;2.646e-12;6.655ms
780;7b5ae5…7e39dd;117;2457000;2.457e-12;7.522ms
781;5e48e8…0dc79b;119;2499000;2.499e-12;8.353ms
782;a525cb…1e2c68;119;2499000;2.499e-12;29.992ms
783;b5271c…c104b5;123;2583000;2.583e-12;10.743ms
784;57a5b9…c04f52;117;2457000;2.457e-12;8.986ms
785;dfe2e1…977b0f;104;2184000;2.184e-12;6.576ms
786;3749e8…017644;119;2499000;2.499e-12;9.222ms
787;df8007…2d1c6c;132;2772000;2.772e-12;9.410ms
788;fd1fe1…87f91a;120;2520000;2.52e-12;6.994ms
789;324aa5…8a9b79;113;2373000;2.373e-12;7.439ms
790;296758…dde226;122;2562000;2.562e-12;8.914ms
791;d003e0…fb8f6b;118;2478000;2.478e-12;6.857ms
792;ff8866…73f078;112;2352000;2.352e-12;7.702ms
793;6705fd…691350;126;2646000;2.646e-12;7.709ms
794;09035c…621afc;112;2352000;2.352e-12;6.302ms
795;e8556e…869512;116;2436000;2.436e-12;7.502ms
796;d6692b…7719d9;125;2625000;2.625e-12;7.100ms
797;719635…0db970;118;2478000;2.478e-12;6.648ms
798;fa7c0d…561266;114;2394000;2.394e-12;9.575ms
799;ffcb66…8f4c3f;123;2583000;2.583e-12;7.666ms
800;6048e1…24c1b8;109;2289000;2.289e-12;6.593ms
801;fbf8bb…d00898;109;2289000;2.289e-12;8.855ms
802;56dc25…7959ac;133;2793000;2.793e-12;9.263ms
803;56e92a…6a367c;121;2541000;2.541e-12;7.298ms
804;abd5e3…cf046b;103;2163000;2.163e-12;7.150ms
805;a7f6ce…8f0aa9;113;2373000;2.373e-12;7.090ms
806;7f3dcb…15f30a;127;2667000;2.667e-12;6.852ms
807;635aaf…c103ab;118;2478000;2.478e-12;7.736ms
808;c3d202…760b35;110;2310000;2.31e-12;8.262ms
809;34e31d…c87226;114;2394000;2.394e-12;6.063ms
810;751a59…61156f;116;2436000;2.436e-12;7.519ms
811;9c8437…b57e44;111;2331000;2.331e-12;7.938ms
812;0bed1c…c437fa;117;2457000;2.457e-12;6.057ms
813;ce16e4…bb45ba;134;2814000;2.814e-12;9.901ms
814;89b2f3…3242c4;123;2583000;2.583e-12;7.872ms
815;1337d0…0bf170;112;2352000;2.352e-12;6.700ms
816;3cff99…121dd6;112;2352000;2.352e-12;7.518ms
817;97812b…0afa4d;117;2457000;2.457e-12;8.515ms
818;d81899…bc6a41;123;2583000;2.583e-12;8.418ms
819;b9a90e…40fa10;113;2373000;2.373e-12;9.346ms
820;8028cc…9af793;114;2394000;2.394e-12;7.182ms
821;e6eb6d…2eb3e5;122;2562000;2.562e-12;6.738ms
822;cd0ff8…d60499;117;2457000;2.457e-12;7.905ms
823;23ac67…bf0294;106;2226000;2.226e-12;6.949ms
824;674aa6…b988c1;118;2478000;2.478e-12;8.250ms
825;09fcd0…484fae;119;2499000;2.499e-12;9.046ms
826;d918a9…84db9a;104;2184000;2.184e-12;8.041ms
827;4f27be…6faa8e;110;2310000;2.31e-12;6.313ms
828;40fb86…33e440;114;2394000;2.394e-12;36.561ms
829;47599f…fd433b;115;2415000;2.415e-12;7.089ms
830;bdf96d…d8cfc0;112;2352000;2.352e-12;6.775ms
831;b8eaec…d58456;120;2520000;2.52e-12;9.440ms
832;60e021…5e2102;111;2331000;2.331e-12;7.279ms
833;59729d…8fd188;117;2457000;2.457e-12;6.806ms
834;e2ef4a…919e9b;114;2394000;2.394e-12;7.835ms
835;b01044…7634df;114;2394000;2.394e-12;7.522ms
836;05f26f…b57a91;178;3738000;3.738e-12;9.285ms
837;056a94…aec23f;58;1218000;1.218e-12;5.650ms
838;f2b549…685d47;74;1554000;1.554e-12;5.934ms
839;5280b6…ec1da7;134;2814000;2.814e-12;7.084ms
840;4211b5…d4f4a2;141;2961000;2.961e-12;8.792ms
841;95e5c5…fa6ee4;110;2310000;2.31e-12;8.556ms
842;aedf56…c2fd4f;96;2016000;2.016e-12;5.794ms
843;5f05e5…246cac;112;2352000;2.352e-12;8.468ms
844;c30cda…23c016;124;2604000;2.604e-12;8.415ms
845;22798d…258bf1;116;2436000;2.436e-12;6.858ms
846;24120e…c52c63;107;2247000;2.247e-12;7.408ms
847;93752c…483102;104;2184000;2.184e-12;6.795ms
848;80113d…ddf93a;123;2583000;2.583e-12;7.028ms
849;6a90e9…15d0f9;111;2331000;2.331e-12;9.577ms
850;db20de…ba2b62;109;2289000;2.289e-12;7.105ms
851;e1e782…c78c0c;112;2352000;2.352e-12;6.601ms
852;25dd8e…3fbdf3;120;2520000;2.52e-12;9.439ms
853;d9f461…063ef5;108;2268000;2.268e-12;6.827ms
854;dd5b28…b010ea;108;2268000;2.268e-12;6.210ms
855;d92da8…8de10e;122;2562000;2.562e-12;8.918ms
856;93bfd9…c619c6;112;2352000;2.352e-12;8.376ms
857;2efee4…9e4b7b;105;2205000;2.205e-12;6.009ms
858;2c42bd…e913d9;115;2415000;2.415e-12;7.260ms
859;de203e…40c6f6;116;2436000;2.436e-12;6.728ms
860;3b4807…675a8e;108;2268000;2.268e-12;5.935ms
861;67c9be…526740;108;2268000;2.268e-12;41.124ms
862;2a6f0b…6cc932;116;2436000;2.436e-12;7.208ms
863;14bc60…1328ee;121;2541000;2.541e-12;6.989ms
864;9e91fb…2c0953;115;2415000;2.415e-12;9.788ms
865;0ee09f…9a6732;94;1974000;1.974e-12;6.516ms
866;8eca37…8adb78;115;2415000;2.415e-12;6.685ms
867;46245a…95e3a3;130;2730000;2.73e-12;8.345ms
868;f55d93…110fd4;109;2289000;2.289e-12;8.622ms
869;a093ac…af5745;98;2058000;2.058e-12;6.157ms
870;4d3071…b4f9de;116;2436000;2.436e-12;7.668ms
871;55178a…dfaaab;118;2478000;2.478e-12;8.481ms
872;024f85…684c21;115;2415000;2.415e-12;6.513ms
873;74216a…6a6c86;112;2352000;2.352e-12;8.855ms
874;ffa260…d66154;114;2394000;2.394e-12;8.581ms
875;c9309f…a767b5;117;2457000;2.457e-12;6.648ms
876;84967b…54454d;119;2499000;2.499e-12;7.327ms
877;e052cf…f5913d;105;2205000;2.205e-12;7.820ms
